name,company,year,Price,kms_driven,fuel_type
Mazda 6 ,Mazda,2018,485000000,10000,Bensin
Hyundai Avega GX,Hyundai,2010,55000000,70000,Bensin
Volkswagen Beetle ,Volkswagen,2009,450000000,30000,Bensin
Toyota Soluna Gli,Toyota,2000,40000000,10000,Bensin
Mercedes-Benz E-Class E300,Mercedes-Benz,2009,305000000,95000,Bensin
Renault Megane ,Renault,2005,79000000,115000,Bensin
Suzuki APV GX,Suzuki,2008,65000000,295000,Bensin
Timor DOHC ,Timor,1997,20000000,35000,Bensin
Mazda Biante 2.0 SKYACTIV,Mazda,2013,184000000,40000,Bensin
Wuling Confero S S 1.5L,Wuling,2017,130000000,45000,Bensin
Nissan Latio ,Nissan,2008,80500000,115000,Bensin
KIA Picanto SE,KIA,2013,85000000,65000,Bensin
Mercedes-Benz C-Class C250,Mercedes-Benz,2013,440000000,30000,Bensin
Mitsubishi Pajero NA,Mitsubishi,2000,155000000,105000,Bensin
Hyundai H-1 ,Hyundai,2012,145000000,12500,Bensin
KIA Sportage LX,KIA,2005,57000000,105000,Bensin
Toyota Corolla Altis V 1.8,Toyota,2016,220000000,50000,Bensin
Isuzu Panther LM,Isuzu,2008,100000000,80000,Diesel
Honda HR-V S CVT,Honda,2017,245000000,10000,Bensin
Nissan X-Trail ,Nissan,2015,300000000,40000,Bensin
Isuzu ,Isuzu,2016,625000000,100000,Diesel
Nissan Grand livina ,Nissan,2008,72000000,130000,Bensin
Ford Focus Sport,Ford,2014,185000000,90000,Bensin
Mazda CX-5 Elite,Mazda,2018,485000000,20000,Bensin
Mazda 2 GT,Mazda,2014,168000000,60000,Bensin
KIA Visto ,KIA,2000,41000000,150000,Bensin
Nissan Elgrand HWS,Nissan,2012,300000000,60000,Bensin
Ford Escape Limited,Ford,2010,117500000,130000,Bensin
KIA Picanto SE 3,KIA,2013,80000000,45000,Bensin
Isuzu ,Isuzu,2016,625000000,100000,Diesel
Suzuki Karimun DX,Suzuki,2018,80000000,20000,Bensin
BMW ,BMW,2017,570000000,25000,Bensin
BMW Serie 3 320i 2.0,BMW,2014,383000000,50000,Bensin
Jeep Rubicon ,Jeep,2015,1100000000,20000,Bensin
Toyota Starlet ,Toyota,1991,40000000,235000,Bensin
Chrysler 300 300C,Chrysler,2013,380000000,40000,Bensin
BMW X1 sDrive18i xLine,BMW,2018,650000000,5000,Bensin
Toyota Calya G,Toyota,2017,125000000,20000,Bensin
Daihatsu Xenia R 1.3 DLX,Daihatsu,2013,112000000,105000,Bensin
Honda Freed S,Honda,2012,129000000,65000,Bensin
Ford Fiesta EcoBoost S,Ford,2014,135000000,55000,Bensin
Mazda Biante ,Mazda,2013,169000000,80000,Bensin
BMW Serie 5 528i Luxury,BMW,2010,335000000,90000,Bensin
KIA ,KIA,2010,63000000,120000,Bensin
Volkswagen Safari 1.6 L,Volkswagen,1986,50000000,25000,Bensin
Ford ,Ford,2004,75000000,25000,Diesel
Ford Ecosport Titanium,Ford,2014,135000000,80000,Bensin
BMW Serie 5 520i Luxury,BMW,2012,330000000,45000,Bensin
Daihatsu Sigra ,Daihatsu,2019,111000000,5000,Bensin
Mercedes-Benz CLA-Class CLA200,Mercedes-Benz,2017,695000000,15000,Bensin
Isuzu ,Isuzu,2013,132000000,55000,Diesel
Ford laser ,Ford,1993,32000000,50000,Bensin
Ford Everest ,Ford,2007,120000000,295000,Diesel
Suzuki APV ,Suzuki,2004,55000000,205000,Bensin
Mercedes-Benz C-Class C200,Mercedes-Benz,2011,209950000,65000,Bensin
Mazda 2 R,Mazda,2012,99000000,75000,Bensin
Ford Fiesta Trend,Ford,2012,88500000,10000,Bensin
Proton Saga ,Proton,2009,50000000,55000,Bensin
Nissan Livina ,Nissan,2013,95000000,120000,Bensin
Nissan Grand livina ,Nissan,2016,132000000,50000,Bensin
Nissan X-Trail ,Nissan,2018,348000000,10000,Bensin
Smart Fortwo 1.0 Passion Coupe,Smart,2010,185000000,20000,Bensin
Mazda Familia ,Mazda,1997,42000000,295000,Bensin
Daihatsu Xenia Xi Sporty,Daihatsu,2010,74000000,40000,Bensin
Daihatsu Xenia R 1.3 DLX,Daihatsu,2012,117000000,55000,Bensin
BMW Serie 3 318i 1.8,BMW,2002,90000000,20000,Bensin
Mercedes-Benz S-Class S350,Mercedes-Benz,2009,390000000,55000,Bensin
KIA Picanto ,KIA,2010,77000000,95000,Bensin
